method,Near-OOD AUROC,Near-OOD FPR@95,Far-OOD AUROC,Far-OOD FPR@95
MSP,0.7325123375,0.8532500000000001,0.6328750026007243,0.9484808510638297
MaxLogit,0.7332892675,0.8507,0.6335776512652784,0.9470865248226952
Energy,0.7322066125,0.85255,0.6294707071661385,0.9528503546099291
Mahalanobis,0.6694410175000001,0.9382,0.7051587390101103,0.8356333333333333
ViM,0.5629596075,0.9491499999999999,0.7150632226127961,0.8173744680851064
NECO,0.73196446,0.85265,0.6324853801146824,0.9485304964539006
