method,Near-OOD AUROC,Near-OOD FPR@95,Far-OOD AUROC,Far-OOD FPR@95
MSP,0.7959184225,0.77075,0.7628030751833409,0.8181510638297871
MaxLogit,0.8030389875,0.7697,0.7891650673260902,0.8033042553191491
Energy,0.8017415324999999,0.77305,0.7937183796461446,0.7899333333333333
Mahalanobis,0.6119322625000001,0.94295,0.6705442941843972,0.8828319148936171
ViM,0.7301619075,0.86825,0.7772980056232082,0.803190780141844
NECO,0.8024837874999999,0.76735,0.7975396373502338,0.7803326241134751
