epoch,train_loss,train_acc,val_loss,val_acc,nc1,nc2,nc2_cos,nc3,nc3_dist,nc4,nc5_correlation,nc5_cka
1,3.9974848729642956,8.437777777777777,3.6212777495384216,13.34,2.3114385362683207,0.3958955001831055,0.15831641852855682,0.31927597522735596,0.6385519979336913,0.36508888006210327,0.8075540482997894,0.7385630446030127
2,3.3527150831439276,17.995555555555555,3.2145852565765383,22.84,2.167757237404347,0.3298388671875,0.1098925918340683,0.25297608971595764,0.5059521551712897,0.46371111273765564,0.8068702518939972,0.6584863384062687
3,2.8444843000986357,27.537777777777777,2.6854636132717133,30.38,1.6745129786152804,0.33329036712646487,0.11220450699329376,0.24183784425258636,0.4836756679660539,0.5011777877807617,0.7400663614273071,0.6217157292869312
4,2.406203656034036,35.904444444444444,2.4065871477127074,36.56,1.7490498219714488,0.2803622245788574,0.07939694821834564,0.22304174304008484,0.4460835176198543,0.5515333414077759,0.8081542193889618,0.7465619850887073
5,2.0850472744892943,43.08888888888889,2.222486999630928,41.64,1.5214235899930297,0.2748119354248047,0.07628444582223892,0.22716955840587616,0.4543391562705642,0.5679555535316467,0.8316594004631043,0.8078474435650123
6,1.890641132200306,48.0,2.0671109825372698,44.7,1.3057143427036295,0.2706180763244629,0.0739738866686821,0.22002284228801727,0.44004576162100423,0.5919777750968933,0.8167188286781311,0.7846081075886363
7,1.7471231835132295,51.03333333333333,1.925317445397377,48.2,1.3865578119735527,0.25012285232543946,0.06319337338209152,0.20406050980091095,0.40812100304574644,0.6155111193656921,0.8153638362884521,0.8023738741551595
8,1.6469973241063682,53.7,2.169320505857468,43.66,1.2938678701155006,0.266682071685791,0.07183769345283508,0.23070617020130157,0.461412307017838,0.5845555663108826,0.8035366415977478,0.7768178917310278
9,1.572737448256124,55.47555555555556,2.0693497121334077,46.24,1.359295188535133,0.2491568946838379,0.06270621716976166,0.21657347679138184,0.4331469934526831,0.5694222450256348,0.7929633677005767,0.7598658296307269
10,1.4920061389830979,57.73777777777778,2.225305351614952,45.16,1.251736407160245,0.25414093017578127,0.06524001806974411,0.23396624624729156,0.46793254034639403,0.572266697883606,0.8218452155590057,0.815812127024168
11,1.4454668699340387,58.782222222222224,1.748871412873268,52.36,1.1601107070023589,0.2350324249267578,0.05579822510480881,0.20746402442455292,0.41492807939402154,0.6579111218452454,0.7871317863464355,0.7762530402563756
12,1.395195701921528,60.19111111111111,1.8168110519647598,51.58,1.2034110788469963,0.2513396072387695,0.06380969285964966,0.2084256261587143,0.41685124525232825,0.6521778106689453,0.8025137960910798,0.7671671650271787
13,1.350691945715384,61.40888888888889,1.92061428129673,49.68,1.2917107227032814,0.2282490348815918,0.05262386053800583,0.2069583684206009,0.4139166847047454,0.6432666778564453,0.7749929189682007,0.7479324939355501
14,1.325756467709487,61.913333333333334,1.7145589858293533,54.06,1.1552509324923559,0.23779911041259766,0.057119615375995636,0.19342388212680817,0.38684779043620665,0.6793555617332458,0.7861352860927582,0.7409865450573854
15,1.2887844180857593,62.69111111111111,1.6565592154860496,53.84,1.1369721651032882,0.222738037109375,0.050113365054130554,0.18853527307510376,0.3770705285701206,0.6811777949333191,0.7781558871269226,0.7563973051351338
16,1.2620183122767643,63.45777777777778,1.6747096180915833,54.8,1.1770957454285145,0.23474960327148436,0.05566401407122612,0.19472435116767883,0.3894486951651288,0.6935999989509583,0.7945375561714172,0.7764843805579198
17,1.243123272941871,63.971111111111114,1.5913902506232263,56.26,1.1502992464181911,0.22274539947509767,0.050116684287786484,0.18275338411331177,0.3655067964160139,0.7014889121055603,0.7972956836223603,0.774245673352107
18,1.213765293529088,65.02666666666667,1.920035395026207,51.68,1.2071745264904292,0.2370075035095215,0.05673995986580849,0.2116149514913559,0.423229923523113,0.6528666615486145,0.788567167520523,0.7625307802022792
19,1.1982843755659731,64.91111111111111,1.6547658562660217,54.98,1.1915124841016604,0.21224802017211913,0.045504264533519745,0.1921098679304123,0.38421971680656725,0.6915555596351624,0.8012408375740051,0.7699410871529581
20,1.1766981414773248,66.08888888888889,1.7794231802225113,52.9,1.176892303708291,0.22368200302124022,0.050539035350084305,0.19911983609199524,0.3982396478042938,0.6646888852119446,0.7875586926937104,0.7632333568545382
21,1.1702301729131828,65.73555555555555,1.6711752146482468,54.22,1.1333010002515624,0.22024286270141602,0.04899689182639122,0.18377825617790222,0.3675565232920144,0.7003777623176575,0.7803580522537231,0.7624446427836773
22,1.1584470539607785,66.28222222222222,1.751245230436325,54.04,1.214293180882174,0.21616670608520508,0.047200046479701996,0.1859062761068344,0.3718125473351961,0.6904444694519043,0.8125648558139801,0.7970903465314964
23,1.143996635959907,66.71333333333334,1.6995313540101051,54.38,1.2246847105139977,0.22118030548095702,0.049414873123168945,0.19169823825359344,0.38339646461936583,0.6920666694641113,0.7842174589633941,0.7571240213526162
24,1.1273935797878287,67.2,1.5671396404504776,57.48,1.0886765516274282,0.21906927108764648,0.04847610741853714,0.17577995359897614,0.3515598579411403,0.7308222055435181,0.7831197082996368,0.755940703186196
25,1.1251934898847884,66.93111111111111,1.790069615840912,53.16,1.1611517815768615,0.21878774642944335,0.04835159704089165,0.19601424038410187,0.39202851732415184,0.6644666790962219,0.7756157100200654,0.7431805643727556
26,1.0988555216992444,67.9,1.6963961765170097,55.4,1.1630430093119015,0.2116197967529297,0.045235294848680496,0.18582911789417267,0.37165822884835736,0.6960889101028442,0.790712696313858,0.7580928168230556
27,1.0970371677116915,67.87333333333333,1.826197823882103,52.28,1.1661570078161794,0.22492053985595703,0.05110025405883789,0.19608820974826813,0.39217637725597343,0.6507999897003174,0.791970181465149,0.7693318407327651
28,1.0915545172650705,68.06222222222222,1.860406956076622,51.74,1.225870310815453,0.21865085601806641,0.04829110950231552,0.19312064349651337,0.3862412873670928,0.6700000166893005,0.7829819917678833,0.7398485239951869
29,1.0747267993336374,68.62444444444445,1.6617238759994506,55.22,1.088510362380904,0.2071446418762207,0.04334232956171036,0.17758934199810028,0.355178662312394,0.712577760219574,0.7709552645683289,0.727118730315179
30,1.0793189717964693,68.58666666666667,1.7431619107723235,55.76,1.0997978452662176,0.21795156478881836,0.04798271507024765,0.17997035384178162,0.35994072204488475,0.7208222150802612,0.7896862745285034,0.7555944064549042
31,1.0630979456684806,69.04666666666667,1.689115083217621,54.84,1.2086240420011471,0.2023055648803711,0.04134095087647438,0.17744754254817963,0.35489510727902823,0.7068444490432739,0.7679721415042877,0.7391974295990913
32,1.0657964514737779,68.65333333333334,1.6375140070915222,55.46,1.1264068033481744,0.2114548110961914,0.04516478255391121,0.17384470999240875,0.3476894973532603,0.7121555805206299,0.7829047083854676,0.7528601388791267
33,1.0473757773976435,69.27111111111111,1.8502610489726066,54.42,1.1213334517380937,0.21407247543334962,0.046289924532175064,0.18353353440761566,0.3670670845374934,0.6878666877746582,0.810659670829773,0.8147131242293029
34,1.0405983105301857,69.24444444444444,1.6600209444761276,57.42,1.1063258574974355,0.20558815002441405,0.04269342124462128,0.16853252053260803,0.3370650481406324,0.7421555519104004,0.7790610909461975,0.7530129797782196
35,1.0412304398011079,69.47555555555556,1.6199148416519165,56.68,1.134962200676441,0.20464149475097657,0.042301155626773834,0.17033545672893524,0.3406709428516115,0.7362889051437378,0.793540608882904,0.7786208875714994
36,1.043719538233497,69.34222222222222,1.718079613149166,55.44,1.0805825058626106,0.21412260055541993,0.046311601996421814,0.180713951587677,0.36142791918101463,0.70942223072052,0.8031456410884857,0.7952847734402749
37,1.0209391914646735,70.06888888888889,1.7400080531835556,55.6,1.0837613608211039,0.21282859802246093,0.04575354605913162,0.17728152871131897,0.35456305437512353,0.7105777859687805,0.798420536518097,0.7900885627405002
38,1.029330132698471,69.92222222222222,1.6351465851068496,56.02,1.073487878480302,0.2103961181640625,0.044713668525218964,0.1742212027311325,0.3484424788337583,0.716177761554718,0.7846307694911957,0.7643808852585603
39,1.0136004034429789,70.22888888888889,1.810588426887989,53.6,1.130683881140109,0.20929550170898437,0.04424707964062691,0.18313656747341156,0.36627316350154615,0.6859999895095825,0.8054839015007019,0.7967997367152659
40,1.019199881025336,69.96444444444444,1.5823523104190826,57.86,1.0737129170666257,0.21124515533447266,0.04507526755332947,0.17142149806022644,0.3428429180260082,0.7441999912261963,0.7818665444850922,0.7464117452152025
41,1.014246716248718,70.01555555555555,1.6532164007425307,56.66,1.0941909438671695,0.2070622444152832,0.04330785572528839,0.16718894243240356,0.33437789112022304,0.7151777744293213,0.7664482235908509,0.7445387359328153
42,1.0104204326529393,70.17555555555556,1.7855083853006364,54.24,1.180617070386036,0.2089654541015625,0.04410763829946518,0.185062438249588,0.3701249283816674,0.6877333521842957,0.7786539614200592,0.7287475876671177
